Predict(linear),Y_true,Predict(Neuron)
629.4075001,560,495.2231604
779.5878743,1000,886.6817234
1385.838963,1400,1408.666109
949.733798,795,841.6882381
1385.838963,1400,1408.666109
1376.965868,1395,1294.890892
1761.183575,1900,1839.4261
1177.571847,970,1152.166921
921.063836,1025,734.0671484
929.1007538,915,792.9618642
1151.626764,999,1133.777276
2689.950651,3300,2914.598604
1300.549325,1300,1181.932825
1290.00254,1195,1219.100702
1555.643561,1800,1508.991351
2986.921721,3800,3351.165657
2697.748457,3900,2988.338268
1230.199991,999,1103.310511
1820.619729,3495,1905.282211
1417.966937,670,1406.739407
1442.169767,1250,1398.427154
550.6556955,625,324.4328868
1516.77658,1495,1472.389035
1658.689774,1200,1767.984265
2650.742856,3195,2863.895837
883.8911665,800,716.9183755
929.1007538,915,792.9618642
1385.838963,1400,1408.666109
1415.147423,2200,1406.7407
1026.555291,1000,893.3315633
1524.97309,1400,1373.641901
1385.838963,1375,1408.666109
929.1007538,900,792.9618642
1239.027246,1150,1189.094584
1429.209609,1490,1341.029381
831.761159,675,755.0013988
1385.838963,1375,1408.666109
1159.63568,1795,1007.684216
1626.285104,3250,1655.650418
1429.209609,1599,1341.029381
969.2247087,1020,893.4963089
969.2247087,1020,893.4963089
1636.456191,1450,1662.868965
681.0743795,660,538.5058458
1026.555291,1000,893.3315633
2599.493975,2100,2878.143542
1948.571494,1700,2019.252082
2605.230375,3195,2807.745424
1176.442922,1220,1125.256677
1073.950605,825,994.296587
